2007
January,22.4,22.0,237.9
February,23.6,23.0,173.4
May,6.3,13.2,11.8
June,22.6,14.1,83.8
July,24.8,14.5,72.2
August,19.5,13.8,99.7
September,20.0,14.5,136.7
October,19.8,16.0,181.3
November,22.6,20.5,246.6
December,24.4,20.7,236.3
