2009
January,21.8,24.4,243.1
February,23.5,23.9,195.3
March,19.8,21.3,186.8
April,17.9,19.9,137.3
May,18.1,16.5,109.9
June,21.3,13.6,44.0
July,18.6,12.3,74.9
August,18.4,13.6,42.3
September,23.1,13.7,48.4
November,21.2,19.6,98.4
December,22.4,22.7,263.4
