WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
31/3/2016 16:30,12.6,224,29,0,1011.5,1014.9,1015.1,0,55.3,6,428,27.3,24.8,25.1,26.1,10,21.99
31/3/2016 16:40,12.9,236,28,0.1,1011.5,1014.9,1015.1,0,56.4,7,160,27.4,24.9,25.1,26.1,12,22.07
31/3/2016 16:50,13.2,220,34,0,1011.6,1015,1015.2,0,58,6,288,27.5,24.9,25.1,26.1,10,21.83
31/3/2016 17:00,12.5,222,29,0.1,1011.6,1015,1015.2,0,57.5,5,120,27.5,25,25.2,26.1,8,21.29
31/3/2016 17:10,12.2,221,34,0,1011.7,1015.2,1015.3,0,57.2,5,85,27.6,25,25.1,26.1,10,21.01
31/3/2016 17:20,12.6,227,31,0,1011.7,1015.1,1015.3,0,58.7,5,100,27.7,25.1,25.1,26.1,11,21.03
31/3/2016 17:30,12.8,69,87,0,1011.7,1015.2,1015.3,0,60.2,5,62,27.7,25.1,25.2,26.1,8,20.8
31/3/2016 17:40,13.5,225,26,0,1011.7,1015.2,1015.3,0,63.4,5,39,27.7,25.2,25.2,26.1,11,20.74
31/3/2016 17:50,13.3,231,21,0,1011.8,1015.3,1015.4,0,62.7,4,35,27.8,25.2,25.2,26.1,11,20.71
31/3/2016 18:00,12.8,226,25,0,1011.9,1015.4,1015.5,0,61,5,38,27.8,25.3,25.2,26.1,9,20.63
31/3/2016 18:10,12.1,239,25,0,1012,1015.5,1015.6,0,59.3,6,29,27.8,25.3,25.2,26.1,12,20.34
31/3/2016 18:20,12,231,20,0,1012.1,1015.6,1015.7,0,59.8,4,16,27.8,25.4,25.2,26.1,8,20.1
31/3/2016 18:30,12.2,244,14,0,1012.2,1015.7,1015.8,0,60.9,4,17,27.8,25.4,25.2,26.1,8,20.07
31/3/2016 18:40,12.5,246,10,0,1012.3,1015.8,1015.9,0,61.7,4,20,27.8,25.5,25.2,26.1,6,20.15
31/3/2016 18:50,13.6,243,22,0,1012.2,1015.7,1015.8,0,65.9,6,25,27.8,25.5,25.2,26.1,10,20.23
31/3/2016 19:00,12.8,236,24,0,1012.3,1015.8,1015.9,0,62.8,7,19,27.8,25.6,25.2,26.1,11,20.21
31/3/2016 19:10,12.3,239,21,0,1012.4,1015.9,1016,0,61,6,24,27.8,25.6,25.3,26.1,11,20.12
31/3/2016 19:20,11.8,244,29,0,1012.5,1016,1016.1,0,59.2,6,8,27.7,25.6,25.3,26.1,10,20.07
31/3/2016 19:30,11.4,252,28,0,1012.7,1016.2,1016.3,0,57.7,7,19,27.7,25.7,25.3,26.1,10,20.03
31/3/2016 19:40,11.2,244,28,0,1012.9,1016.4,1016.5,0,57.7,6,14,27.6,25.7,25.3,26.1,10,19.85
31/3/2016 19:50,11.4,241,26,0,1013.1,1016.6,1016.7,0,58.5,6,10,27.6,25.7,25.3,26.1,10,19.87
